,rep1_CMC_Fluorescence,rep1_CMC_Fluorescence,rep2_CMC_Fluorescence,rep2_CMC_Fluorescence,rep3_CMC_Fluorescence,rep3_CMC_Fluorescence
,334_373,334_384,334_373,334_384,334_373,334_384
B5,152990.0,192459.0,147399.0,187712.0,145633.0,184771.0
B6,144199.0,176390.0,133525.0,166074.0,131426.0,164441.0
B7,139050.0,165754.0,125491.0,153921.0,123006.0,152003.0
B8,117488.0,139299.0,106971.0,129829.0,105196.0,129661.0
C1,112990.0,139500.0,107151.0,135208.0,106137.0,134866.0
C2,112673.0,142292.0,108305.0,138876.0,107593.0,138527.0
C3,118241.0,155233.0,114149.0,150631.0,114029.0,150442.0
C4,122877.0,166663.0,119220.0,161985.0,119020.0,161399.0
C5,129616.0,178039.0,125332.0,173079.0,125549.0,172944.0
C6,146756.0,202504.0,140566.0,197752.0,140783.0,196154.0
C7,153543.0,211653.0,148040.0,208041.0,148277.0,206793.0
C8,126140.0,174049.0,122260.0,170283.0,121847.0,171214.0
